PLDAGAT_OLE_HDE_HDE_PC_5_c,0.9148372
AEPPYRTA,0.009816475
XYLpts,0.74849325
r0797,0.0024358092
HACD10i,0.998428
RAFGH,0.020531278
DATCY,0.9857603
6ATHAtexi,0.9148373
BANDMT,0.00396594
CDIPTr_18_1_18_3,0.44326934
56EPPVStev,0.9148373
ADNt,0.023439426
COB2,0.998428
GUAt2r,0.9975823
AKR1D2,0.9984439
LCAT18e,0.9148372
LPCAT_DHA_ARA_sn2_c,0.00014984811
URIK1_1,0.9989415
RHA141tex,0.9148373
CEPTC,0.25295475
SULAabc,0.9994491
LPEAT_HDE_STC_sn2_c,0.00014984811
PLDAGAT_EPA_EPA_LNA_PE_12_c,0.9148372
12HPETUPKt,0.9148373
PTVSTLACtev,0.9148373
PE1801845Z9Z12Z15Zt,0.9994491
POR_1,0.9984439
DHPTt,0.99626935
OARGtex,0.9148373
r1898,0.0004089996
DMHPTCRNCPT1,0.00014984811
HSD3B11,0.998428
LANOSTt,0.9148373
MEV_Rt,0.9148373
PENDECAETH,0.07169895
GLUDGS_HDE_HDE,0.039157666
ARGAGMt7pp,0.998293
PLPSD1819Z1819Z,0.13101493
r2273,9.192604e-06
E4PP,0.99807715
DASNtex,0.9148373
GTPH1,0.99996006
CRNBTCT,0.9148372
HMR_2380,0.9989023
ACOADAGAT_HDE_EPA_HDE_c,0.00027947247
PHADPCP90,0.08614097
F4NPR,0.9984439
AGPATCOA_DHA_PALM_c,0.00025742015
LACLt2,0.00832656
PLIPA2E180pp,0.9934429
SELADT,0.9993222
OA6_14PST,0.9148372
NDP3ex,0.00022740819
DAGK,0.9981034
GDPMEP_c,0.015708692
LVSTPGPtu,0.9994491
ACOADAGAT16018111Z18111Z,0.00014984811
GLCDpp,0.9918338
LEUGLYPEPT1tc,0.9945827
DGTSDS1839Z12Z15Z1819Z,0.98065394
ALDDHYD,1.4965973e-05
HACD7i,0.998428
HADPCOADH,0.9148372
NAHCO3CLt_e,0.00013055313
NH4t_1,0.99988854
PEPTIDO,1.4166862e-05
RE3168C,0.9984439
RNTR2_2,0.71511006
ARTCOAL2,0.25243542
SELCDH,0.0015855378
SQGH,0.018269233
RECOAH24,0.9896498
DHNAS,0.97188896
RHMNT2,8.699544e-06
r2060,3.936702e-05
SELtpp,0.9987953
FUCASE2,0.009228744
RE3495C,6.9423986e-06
GALMAN4abc,0.9994491
r2029,0.01718212
PLDAGAT_MYRS_ARA_HDE_PE_13_c,0.9148372
HBUR1,0.9984439
CHOPT_HDE_DHA_c,0.25295457
r1737,0.0001200562
UDCPKr,0.99930084
DAGK_hs_18_2_18_2,0.9981034
ACOADAGAT_EPA_EPA_HDTTE_c,0.00014984811
AGPAT1_18_2_18_1,0.00030221065
Lpipecolt,0.9148373
RZ5PP2,0.9964064
MEHLER,0.99988174
TAGAH_OLE_PALM_HDE_c,0.6321428
UACMAMO,0.99943656
6MHACPA,0.99417984
PIK3_cho,0.9981034
OAP1pp,0.006999207
DMATT2,0.053994223
DTTPt,0.0026463517
MALDDH,0.9998173
AHXDH,0.9896498
PLDAGAT_EPA_EPA_EPA_PC_4_c,0.9148372
SERGLNexR,0.1071021
KAS1,0.99929297
AKSCAL,0.011335131
CRNCAR,0.9148373
3MMD,0.998428
LPS3_hs_18_2,0.18529128
ALCD4y,0.9984439
PLA2PC_STC_HDE_c,0.63214266
PLDAGAT_HDE_EPA_ARA_PE_15_c,0.9148372
DHBD,0.9989072
IPC224PLC_SC,0.121952824
FASm2602,0.9989818
KAT28,0.6379618
PEPtr,0.01569849
ERGSTGLCT,0.024894029
ACOADAGAT_EPA_EPA_HDTE_c,0.00014984811
PLDAGAT_OLE_EPA_EPA_PE_12_c,0.9148372
PHEOX,0.81044877
RE1236C,0.9944776
YUMPS,0.1441597
NTD4pp,0.9960121
PLDAGAT_PALM_EPA_EPA_PE_15_c,0.9148372
TNTtex,0.9148373
FACOAL180_1,0.99988484
DRBK,0.99838984
AGPAT1_18_0_18_4,0.00030221094
GLUMETHISr,0.948563
PC6YM_1,0.017562808
ARTFR13,0.009503297
HT2H,0.9896498
G6PI2,0.00014201972
r1913,0.00061240135
CDIPTr_16_0_18_2,0.44326925
UDPG12dgrGT_SA2,0.001440032
ACANTHAT,0.8955028
FNRR2,0.9990752
PLDAGAT_PALM_HDE_HDE_PE_12_c,0.9148372
LEUt2r,0.99571145
PSD_20_4_20_4,0.99348325
TAGAH_EPA_EPA_HDTE_c,0.08614089
r2486,9.192604e-06
PLA2PC_STC_STC_c,0.8722231
ALDD16,0.99977773
HMR_2281,0.999273
DES_6,0.030681454
UGLT,0.9953898
HC00319t2,1.0713354e-05
LCAT29e,0.9148372
SUCP,0.44645724
DGTP8DETOX,0.9990584
3PGP,0.998934
PIP3P_HDE_PALM_c,0.9964064
3HPVSteb,0.9994491
r2259,9.192604e-06
LPCAT_MYRS_LNA_sn2_c,0.00014984811
r2263,9.192604e-06
AGPATCOA_MYRS_OLE_c,0.00045312202
PPASMCT1,0.7631416
METGLCUR,0.014220835
ACLS_a,0.99668026
G6PDH1,0.9997899
AKR1C1,0.9984439
GTLOA18,0.00010085403
r2352,0.9148373
ACNAMPH,0.9964064
GD1Cte,0.9148373
PACCOAL3,0.9997105
CYSTALArBATtc,1.0977195e-05
PROCYSr,0.96626854
FERXAabc,0.9994491
NEU310e,0.07169892
DAGK_hs_16_0_20_4,0.9981034
PLDAGAT_PALM_PALM_GLNA_PC_3_c,0.002560116
DAGK_HDE_ARA_c,0.9981034
PLDAGAT_MYRS_EPA_EPA_PC_2_c,0.9148372
ADPTA,0.98324066
PHYTES2_1,0.8881029
PCHOL2STE_HSPLA2,0.08614089
ACSPHAC140,0.9997105
PED5DS1801835Z9Z12Z,0.98065394
RIBt,0.9992624
SPHMYLN18115_hs_SECt,0.9148373
ASPTA4,0.9996973
FEROXBtpp,0.9148373
CEPTE_18_1_18_2,0.25295457
OLEICFATPtc,0.9997719
XTSNtex,0.9148373
ARAB_Lt,0.97778624
BCAROHX2,0.9989023
ECOAH8,0.99202126
OGMEACPS,0.99782264
H2MPTR,0.9148372
GGDPR,0.9984439
GP1CALPHAte_cho,0.9148373
LPS39TVL,0.9148373
MG2t3_2pp,0.9992435
PI3PP,0.9964064
PLDAGAT_OLE_HDE_OLE_PE_11_c,0.9148372
ARApts,0.996232
RECOAH10,0.9896498
r0381,0.99968266
DKGLCNR1,0.9984439
HMR_0654,0.003965938
FORAMD,0.99963415
LIPIDS,0.0001452228
LSTNtu,0.9994491
N8ASPMDte,0.9148373
PIP3P_PALM_LNA_c,0.9964064
AP4AS,0.9999671
FACOAL171_anteiso,0.9997105
SHCHCS,0.0019013617
RE2658C,0.9148373
SULPACMPtev,0.9994491
SULRpp,0.58192563
PNTK_1,0.9881005
USHD1,0.80192745
PLDAGAT_DHA_EPA_DHA_PC_1_c,0.9148372
AI2K,0.9985512
AALACPTD,0.115461685
PLDPE_LNA_MYRS_c,0.13101497
12MGDG183_9_12_15,0.024894029
PLDAGAT_HDE_ARA_HDE_PE_12_c,0.9148372
PLDAGAT_PALM_PALM_LNA_PC_8_c,0.0025601147
MNLptspp,0.95812047
CHOPT_MYRS_PALM_c,0.25295463
HACD4,0.998428
CHOPT_MYRS_MYRS_c,0.35022455
DCTUP,0.019053742
13PPDH2_1,0.99886334
HHYHL2,0.9896498
HISGLNALAt,0.9945827
LNLCtexi,0.9148373
12M3OXOT,0.9984439
MAGAH2055Z8Z11Z14Z17Z_c,0.18529119
ACOADAGAT_LNA_EPA_LNA_c,0.00014984811
PCD5DS_OLE_ARA_sn2_c,0.011287265
KYN3OX,0.9989023
TAGAH_PALM_EPA_PALM_c,0.553634
ALCD19y,0.9990194
MOTH2,0.03852069
PIPLC_PALM_EPA_c,0.08614093
G3PAT1619Z_c,0.8249421
PLDAGAT_MYRS_EPA_GLNA_PE_15_c,0.9148372
RE0512C,0.998428
r1522,0.9994491
LPLIPAL2ATE180,0.0061382204
ALAtpp,0.010676639
r1533,0.9994491
ACRNtr,0.9148373
ITPOXAL,0.004328026
FAS180,0.9997285
OMPHHX,0.0023604052
D3ONEtex,0.9148373
MIPC326PLC_SC,0.08614088
PCD12DS_HDE_LNA_sn2_c,0.0013696345
RE2888E,0.00013960013
SALCt,0.9148373
ARGN1ASPMDte,3.916941e-05
HCO3Ee,0.0016718108
LCA3Gte,0.9994491
TAGAH_MYRS_EPA_HDE_c,0.6321428
PLDPC_MYRS_DHA_c,0.2863809
RIBabc1,0.99958736
HC02195c,0.04964048
NP1_2,0.9360937
CYTDtex,0.0060942858
PPAP_16_0_18_3,0.9964064
GLNLYSTRPr,0.11224433
RHACOAR70,0.9984439
FACOALP90t2pp,0.99988234
LPS57TST,0.9148373
STS2,0.2723971
C13856te,0.9148373
GLUTHRr,0.93151194
SMS2,0.9148372
OAO4t3exmin,0.9148373
D3ONEtpp,0.9148373
NEU24,0.009228744
ACHBS2,0.0006167778
MDZGLCtev,0.9148373
CYTK2_2,0.7486748
CH4t2pp,0.9148373
GALCTD,0.9896498
PLDAGAT_EPA_EPA_PALM_PE_10_c,0.00011857115
AMDGLCt,0.9148373
MI3PP,0.9983216
MMHL,0.9896498
HAS1,0.06233799
PLIPA2G180pp,0.994772
GPDDA3pp,0.9774883
7DHCHOLt,1.0713354e-05
ADPACtd,0.9148373
r2229,9.192604e-06
PI35P3P_cho,0.9964064
ACOAM,0.99981767
ACOAD16f,0.87338936
GLYOX,0.42975572
HMR_1990,0.9989023
OA6_14PL,0.9148372
HMR_0593,0.00014984811
HOCHL3,0.9896498
GLULEUr,0.9006599
OA43LST,0.00042668064
AI2tex,0.9148373
DXTRNt,0.9148373
HPPPNDO_1,0.0023604052
LPCAT_STC_DHA_sn2_c,0.00014984811
PAPA_EPA_ARA_c,0.9964064
PLA2_2_18_0_18_0,0.8722231
r2357,0.9148373
PLIPA1A160pp,0.80455214
TAGAH1819Z18111Z1819Z,0.08614088
r1934,0.00036733787
GBBTNabc,0.9994491
ISOCHOLt,1.0713354e-05
PLA2PC_PALM_ARA_c,0.08614089
PAPA183_9_12_15,0.9964064
r1587,0.00015174785
r1979,0.004197262
ECAP_EC,0.005129235
N2trpp,0.00014096627
HSK_2,0.9899961
PI45PLC_18_0_18_1,0.08614089
BG_MBDG,0.9157301
HIBHr,0.998602
PI34P5K_16_0_18_0,0.9981034
ST8SIA13e,1.6364122e-05
6MPURt,0.9148373
VALTRPVALr,0.033227205
CRNCDH,0.9896498
CODHr,0.71352464
r2006,0.0018093858
LCAT52e,0.9148372
ID6P,0.003412508
PLA2PC_HDE_ARA_c,0.08614093
UAG2E,0.4663142
GBA,0.2731586
SOAT11_cho,0.00014984811
GTLOA7,0.00010085403
RE3567C,0.9148373
CERK,0.9981034
PCHOLDOC_HSABCt,0.9994491
PLDAGAT_PALM_EPA_GLNA_PC_1_c,0.9148372
HMR_0390,0.998602
DAGAH_MYRS_EPA_c,0.08614093
SHL_c,0.99990964
SPP,0.99850035
GLYt7_211_r,0.00012792998
TYRDOPO3,0.8685351
HMR_6977,0.00021068589
PRGNLONESULT,0.00029727718
MLTG3,0.8148146
DMALRED,0.9995074
GLNASNGLNt,0.9945826
PLDAGAT_PALM_PALM_GLNA_PE_12_c,0.0025601147
DGBUTNH,0.02733899
3H3MGLTc,0.998602
HMR_0907,0.000504923
PLPSA21819Z1835Z9Z12Z,0.08614093
ADOCBLS1,0.00051522296
TYRVALMETt,0.9945827
PLDPE_HDE_DHA_c,0.13101497
r0630,0.00032401917
MPTSS,0.9993222
PLDAGAT_HDE_MYRS_PALM_PC_4_c,0.9148372
PLDAGAT_HDE_HDE_LNA_PE_10_c,1.35671235e-05
AMID,0.92317927
GLYt2r,0.9992712
F4H2O,0.8685351
ALPATE180pp,6.148891e-05
DHAPA_cho,0.0017459198
ARGALATHRt,0.9945826
DEDOLR,0.9984439
GLCBRAN3,0.014095273
AGAT_SC,3.9317532e-05
r2216,9.192604e-06
5DGLCN_Et,0.00015215906
HMR_0906,0.039423555
r1594,0.00019086557
DAGK_hs_18_1_18_2,0.9981034
6M3HHL,0.9896498
BZALtex,0.9148373
AGRMte,0.00046805316
DCTPD2,0.9999534
MI4PP_2,0.9991025
SO4t_e,0.99755293
PLDAGAT_HDE_EPA_OLE_PC_5_c,0.9148372
CDIPTr_16_0_16_1,0.44326934
PHAPC121,0.00014984811
MALTt2,0.99905187
G3PAT183_9_12_15,0.8054572
TRIGS_SC,3.9317496e-05
CDHG,0.83487177
A4HBCT,0.5967642
AGAIAGT,0.039423555
DAGAH_MYRS_ARA_c,0.086140946
FA80ACPHi,0.9969447
HDD2CRNte2,0.00023964801
r1589,0.11123129
r1999,0.0031562725
PLDPE_MYRS_EPA_c,0.13101496
HC00342te,0.00023964801
r2301,9.192604e-06
PRCPD,0.9958752
LVSTACIDtu,0.9994491
HMR_7197,0.9998704
CITt3,0.9962186
G1PDH,0.9995221
ACSPHACP40,0.9997105
CDIPTr_16_0_18_0,0.44326934
DHR_1,0.9987565
r2188,9.192604e-06
ASPGLUTRPt,0.9945827
CLOXAtex2,0.014031359
PSSA2_hs_18_1_18_1,0.00023419298
4POPCOAM,0.9832562
PIP5P_EPA_LNA_c,0.9964064
PSCVT_1,0.99433607
CHOLESTTDe,0.9148373
FACOAL181d11tpp,0.99988234
CPGNR2,0.00043206624
TRPTYRGLNr,0.08254836
PLDAGAT_MYRS_HDE_HDE_PE_9_c,0.9148372
PURabc1,0.9994491
TM1819Z1819Z,0.003965938
PCHOL2OLE_HSPLA2,0.08614091
SO4CLtex,0.0042778165
GGH_7DHFe,0.113950685
UGMDDS2,0.97818094
MTHFR3,0.99947196
HYOCHOLt2,0.00023964801
PFK26_1,0.9981034
DOGULND2,0.85817367
TACRDtsc,0.9148373
PLDAGAT_MYRS_EPA_HDE_PE_10_c,0.9148372
RE2523C,6.9423986e-06
EDTXS5_kt,0.9340256
PLDAGAT_PALM_PALM_LNA_PC_4_c,0.0025601147
RE0918C,0.27239704
METGLNTYRt,0.9945827
PPAP_16_0_20_5,0.9964064
EAR200_c,0.9984439
PGPP120,0.998575
13DMTtep,0.9148373
AKR1C42,0.998428
RE1635C,6.9423986e-06
2MAHMP,0.99964964
DHCRD1pf_18_0_24_0,0.9984439
23CGMPtex,0.9148373
TAGAH_MYRS_MYRS_HDE_c,0.72891325
3MBALDt,0.9148373
ACMANAptspp,0.98816085
ACSERSULL,0.0479751
RE1905C,0.9989023
r1691,0.0010278034
6OHFVSGLUtev,0.9148373
r0641,0.8910764
GDPMANDH,0.9908936
HMR_2261,0.9896498
PLDAGAT_HDE_EPA_DHA_PE_13_c,0.9148372
HMR_0209,0.9997105
5HLTDL,0.99348325
HMR_0848,0.25295454
PLDAGAT_HDE_PALM_EPA_PC_8_c,0.9148372
PLA2PA_EPA_GLNA_c,0.08614091
r2365,0.9148373
HMR_2359,0.9991742
VALB0AT3tc,0.00017661811
HMR_0388,0.9148373
MOADC,0.99896467
PLDAGAT_PALM_HDE_GLNA_PE_15_c,0.9148372
TRPtipp,0.00029097503
r1564,0.003998692
OA9_46_27PST,0.9148372
r2362,0.9148373
MACPMT,0.0009437829
FACOAL260,0.9997105
3OAR200,0.9984439
MGt2pp,0.9992435
ACACT11,0.805613
DAAO,0.7878591
ALPATE161pp,4.3714856e-05
AMMQT8_2,0.77313584
RE2155C,0.99919266
RE1099C,0.27239707
PLDAGAT_HDE_ARA_ARA_PC_1_c,0.9148372
CE5026t,0.9994491
ALOX12R,0.0023604052
PCD12DS_LNA_PALM_sn1_c,0.0013696338
DAGK18111Z1819Z,0.9981034
PLDAGAT_MYRS_EPA_MYRS_PE_13_c,0.9148372
LPCAT_DHA_MYRS_sn2_c,0.00040510122
14M3OP,0.9984439
TRPHISMETt,0.9945827
HISPHEARGr,0.0010621232
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,0.00014984811
THIELEC,0.9920257
MYCFLUX2,0.9148373
AGtpp,0.9148373
CAOPTT,0.006388363
CE1617te,0.9148373
56EPPVSteb,0.9994491
MIPC124PLC_SC,0.08614088
LPEAT_OLE_ALNA_sn2_c,0.00014984811
FEOXAMtonex,0.9987953
PHEPC,0.9994728
HISTRS_1,0.9925833
CYTK7,0.99989057
PLDAGAT_HDE_EPA_GLNA_PE_11_c,0.9148372
r1944,0.00091473747
PLDAGAT_EPA_EPA_LNA_PE_15_c,0.9148372
HMR_0431,0.9994491
TETPENT3t,0.9148373
PLDAGAT_MYRS_EPA_HDE_PE_16_c,0.9148372
TSTSTERONESULT,0.00029727718
TSTSTERONEt,0.9148373
OA48PL,0.9148372
4HTHRA,0.9221873
FPGS9,0.998697
ASPO4_1,0.9997627
PLDAGAT_HDE_EPA_HDE_PC_6_c,0.9148372
RE3235C,0.9896498
2PQQS,0.9896498
CARNtex,0.9148373
PCHOLMYR_Hst1e,0.9148373
CDAPPA_SA,0.99730444
PRAMPC_1,0.99758244
SPHMYLN181181_hs_SECt,0.9148373
UREAtex,0.00029979463
MCPST,0.078425296
PLDAGAT_HDE_EPA_HDE_PC_2_c,0.9148372
TETDECACID,0.9999323
MCMAT7,0.0006160232
CDPPT160190,0.44326937
MG1_c,0.27315855
GLCNACT_cho,0.03942353
ECOAH25,0.9896498
GLUt2r,0.999881
PCHOLAR_HSt1e,0.9148373
AGPAT1_18_0_18_1,0.00030221065
CGLYtex,9.947501e-05
ALGSex5,0.9148373
IDHPOXOX3,0.0008123024
PAPA181,0.99843985
PLDPE_STC_LNA_c,0.13101496
FACOAL182_1,0.9997105
LCAT9e,0.9148372
CDPDAGS_HDE_LNA_c,0.99786395
DAGAH_DHA_DHA_c,0.086140946
CDS_18_1_20_4,0.99786395
EDTXSCOF161,0.00014016406
IAGT,0.017048113
SPHMYLN18114_hs_SECt,0.9148373
SPDC,0.99348325
r1805,0.0005073853
CE2211te,0.9994491
r0750,0.9984439
DCAACPt,0.01756494
MTOBR_c,0.9990326
PMTCRNte,0.00023964801
2H3MPt,0.9945826
DHSQSYN,0.8881029
P5CR_1,0.9990545
TETDECA511ACt,0.9994491
r1695,0.0004518293
RE2493C,0.003965938
CE7096te,0.9994491
BMOC,0.0006160232
ETHAPT_LNA_PALM_c,0.25295463
OAP12pp,0.00042668125
PLA2PC_STC_ALNA_c,0.08614088
PLDAGAT_PALM_EPA_LNA_PC_1_c,0.9148372
34DHPEt,0.9148373
LST4EXPTDhc,0.9148373
15MHDAAD,0.99417984
RE2128C,0.009228747
RE3075C,0.9997105
ACN23ACNGALGBSIDEte_cho,0.9148373
IND3ACt,0.9148373
NTD1_1,0.9994134
SER_AL,0.99958795
DAGAH_LNA_DHA_c,0.08614093
r2003,0.00093616865
PLA2PC_PALM_ALNA_c,0.08614093
CRVStu,0.9148373
CERS124,0.014723813
HMR_0292,0.9148373
LPEAT_MYRS_EPA_sn2_c,0.00014984811
ECOAH30,0.9896498
RNAS_LLA,0.99993384
DHPR,0.998428
PHEtex,0.9148373
CATC1646Z9Z12Z15Z_c,0.00014984811
LPEAT_MYRS_GLNA_sn2_c,0.00014984811
PI4PP_16_0_16_0,0.9964064
UAAGLS1_1,0.988588
r1679,0.0005621468
GGGTPP1,0.96498513
AMPTASEGGLU,0.99486744
GLNB0AT3tc,0.000260341
SMS5,0.9148372
MHFMT,0.0047406573
HEPTB3,0.0085177515
P5PSDP,0.99920374
PLDAGAT_EPA_EPA_EPA_PC_3_c,0.9148372
CHOLATEtpp,0.9987953
SERASNNaEx,0.0011359364
LNELDCCRNtr,0.9148373
LPCAT_OLE_DGLA_sn2_c,0.00014984811
PQQAC,0.9866937
TAGAH_PALM_MYRS_PALM_c,0.55363405
SMS7,0.9148372
HMR_2343,0.9984439
LIPOPBt,0.9945827
HOMtpp,0.99946064
ASPTRS_Asn,0.998085
MEGLYXYLt,0.9148373
RE2333C,0.99943656
3PEPTtex,0.9148373
DHGLZtev,0.9148373
OA18PVL,0.9148372
RE2875C,0.9958752
TAGAH1801819Z1819Z,0.08614093
PLDAGAT_HDE_EPA_GLNA_PC_7_c,0.9148372
HICITD,0.99949026
ARGDr,0.99421173
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte_cho,0.9148373
FUCtpp,0.9987953
KPIMR,0.9984439
P4502C94,0.9989023
HMR_0811,0.009228744
HMR_2543,0.9984439
PEDH203_HSABCt,0.9994491
PPAP_16_0_18_0,0.9964064
FAD_11,0.9990257
LALDD,0.9986493
PI45PLC,0.086140946
UGT1_BS,0.024894016
ACOADAGAT18111Z1819Z1819Z,0.00014984811
r2342,0.9148373
AACOAT,0.9997105
ARTPLM1,0.006119903
DAPabc,0.9996049
GLYC3Pabc,0.9999454
PLA2PE_MYRS_HDE_c,0.6321428
r2166,9.192604e-06
3PQQS,0.9148373
r1625,2.6378086e-05
GLYSERtex,0.9148373
RE0875C,0.9981034
FAD_18,0.9896498
LEUGLYHYc,0.23963787
OCTACP,0.9982272
OA4PST,0.9148372
r1758,0.00033587328
HDMAT7,0.998428
INDOLEt2r,0.99672335
ARTCOAL1_cho,0.998602
LPS51TVL,0.9148373
DOPACHRMISO,0.8685351
FUMtpp,0.9998354
PPGPPDPE,0.9999585
IBUP_Stdu,0.9148373
r1918,0.0031212054
r1892,0.0051881224
12HARACHDte,0.9994491
LCAT23e,0.9148372
URACPAH,0.08614091
ARBTNexs,0.0005520762
PLDPC_OLE_EPA_c,0.2863809
LPCAT_MYRS_ALNA_sn2_c,0.00014984811
RE2203C,0.9148373
r2147,1.9534284e-05
ICDHx,0.99988306
CYSGLTH,0.00017819855
NDP6,0.99941504
GDCHOLAte,0.9148373
OA9PST,0.9148372
HAMR,0.99995863
DAGK_PALM_STC_c,0.9981034
PHADPC50,0.08614097
SUBGLYc,0.3661224
PLDAGAT_OLE_HDE_OLE_PE_14_c,0.9148372
HISTAVESSEC,0.9994491
2AACLPPEAT181,0.92920756
PEDH15_HSPLA2,0.08614091
PPAt6,0.99719644
r2253,9.192612e-06
ANDRSTANDRte,0.9994491
r1720,0.002148436
XYL14BASE,0.9963607
PCD12DS_LNA_MYRS_sn1_c,0.0013696332
RE3170C,0.97437537
r2490,9.192604e-06
PLDAGAT_PALM_EPA_PALM_PE_9_c,0.9148372
FTHFI,0.99985254
GLCADpts,0.95812047
TREH,0.999757
ANDRSTRNte,0.9148373
LPEAT_STC_ALNA_sn2_c,0.00014984811
LPEAT_PALM_HDE_sn2_c,0.00027947247
HMR_6595,0.9981034
PI45BPP_SC,0.086140946
PRISTte,0.9994491
r2199,1.9534284e-05
3ISPVSteb,0.9994491
ECOAH14,0.9896498
HMR_0297,0.9997105
OA39PL,0.9148372
PLA2PC_DHA_DHA_c,0.08614091
2HATVACIDtep,0.9148373
6M3HOAHL,0.9896498
IPC124PLC_SC,0.12195281
OA13LST,0.00042668084
ALAt2pp,0.9996995
LPS3_hs_16_0,0.7292698
LIDOAMH,0.00013233164
r0085,0.9998715
FCOAH2,0.9998517
r1669,0.1896729
DHCRD2_cho,0.87338936
MYC2CYC2,0.003965938
RE3238C,0.998602
EMB,0.9148372
r2118,4.6386063e-05
C5STDS,0.9989023
BLACT,0.9958752
CERK_cho,0.9981034
CHOPT_DHA_MYRS_c,0.25295463
HIAA,0.8809762
RHACOAR121d6,0.9984439
TNTR1,0.99909437
TRPS3,0.9963838
r1956,0.00015603768
r2198,1.9534284e-05
PLDPE_LNA_EPA_c,0.131015
r1948,0.11032224
4ABZt2r,0.9962941
PAPA16018111Z,0.9964064
CTI1,0.00046883506
PPAP_18_1_18_2,0.9964064
ARGATB0tc,0.011964886
TAGAH_PALM_PALM_PALM_c,0.64264446
ACTHRte,0.9148373
TRPGLNGLNr,0.91052437
3OAR120_2,0.99867225
GTMLTe,0.00027986336
KYNATEtr2,0.9148373
GAO2_cho,0.63796186
PGMT_B,0.00014201972
MELIBt2,0.9945827
AM1CSAtep,0.9148373
ADOCBLabcpp,0.9994491
CBL1tonex,0.9987953
OA53PL,0.9148372
TRPARGALAr,0.009593201
IPP5P,0.9964064
CRO2tex,0.9148373
HMR_8585,0.0046242457
PPS2,0.00087200274
BHBtpp,0.9987953
GLMS_syn,0.99469674
THMt3,0.9971374
M45TB,0.9556286
PIACGT_18_0_18_1,0.03942354
FUCt,0.9945826
GTLOA56,4.3158554e-05
PLA2_2_18_1_18_4,0.08614091
HMR_2217,0.9984439
PAPA_OLE_PALM,0.9964064
IDL_HSDEG,0.004198004
DALAOX,0.9995821
PLDAGAT_MYRS_MYRS_HDE_PE_13_c,3.2459175e-05
FAOXC5OHc,0.00014984811
AMPNTAT,0.63796175
OMR2,0.998428
KAS10,0.9992374
PE18111Z1835Z9Z12Zt,0.9994491
COMS,0.9894118
CERS224,0.014723813
PIPLC_LNA_EPA_c,0.08614093
ETHAPT_DHA_ARA_c,0.25295466
MYC1M1,0.08421691
PYDXNO,0.0026095668
LPCAT_EPA_ETA_sn2_c,0.00014984811
GLYTRS,0.97778386
PLDAGAT_PALM_PALM_PALM_PE_9_c,0.002560116
HEPDECACID,0.9998149
FE3HOXexs,0.000552076
r1823,0.0015045983
r2304,9.192604e-06
PB2t5,0.9987953
FCI,0.9148373
ACSERL,0.0076619545
FACOAL246_1,0.9997105
FESD1s,0.06430766
PCD6DS_EPA_GLNA_sn2_c,0.0013696332
ASPGLUTRPr,0.9266398
OA41LVL,0.00042668084
COPROSTabc,0.9994491
URATEtex,0.9148373
TAGAH_PALM_HDE_HDE_c,0.6321428
HMR_2284,0.999273
GTLOA59,0.0005339348
LEULEUt,0.9148373
PLDAGAT_OLE_HDE_HDE_PC_4_c,0.9148372
FAS100ACP,0.99940884
r2173,9.192604e-06
PHEASNMETt,0.9945827
