,0
PLDAGAT_EPA_EPA_ARA_PE_11_c,0.8891248
SALCHS4FEHpp,0.98807985
CDPPT160190,0.67164874
FRDO6r,0.99987996
OA63PST,0.13793443
HMCARNc,0.9998852
NORMETEt,0.8891248
ITPH2,0.036035843
GTPCI_1,0.999926
HMR_0323,0.9999291
4HOXPACDtpp,0.00053684687
ANTIPYRENEte,0.8891248
UND2ONEtpp,0.8891248
PLDAGAT18111Z18111Z1819Z3,0.011035979
ASCBOX_1,0.003021244
3MBALDt,0.8891248
MNL1P_Et,0.0018623557
ARBTNtex,0.99949396
CITALMO,0.9977155
MGDG182_9_12,0.21337627
NOS_1,0.9994684
r2245,1.979886e-05
PAPA_LNA_ALNA_c,0.9995437
GLUTARt2rpp,0.99949396
PEOLE_HSPLA2,0.49332982
AGRMte,0.99592423
HACD19i,0.9989588
LEUPROARGr,0.00865087
THMATPe,0.99985695
OA48F,0.8891248
PLDAGAT_MYRS_EPA_EPA_PC_1_c,0.8891248
LPEAT_DHA_LNA_sn2_c,0.0061601517
CDPGH_2,4.951544e-05
LEULEUTRPt,0.99919206
PLDAGAT_HDE_MYRS_LNA_PC_6_c,0.8891248
HMR_2391,0.9986222
SERDGLYexR,0.00017905186
r1827,0.99878985
PPItex_1,0.8891248
ARGSS2,0.99989486
PKETF,0.9908159
NACHORCTL3le,0.99947494
OA55PL,0.13793443
TARTRDtpp,0.9814864
TEO2M,0.0014045327
OA9LVL,0.000587962
FEROXBFER1,0.99470794
L2AADPtr,0.8891248
PLDAGAT_DHA_EPA_DHA_PE_13_c,0.8891248
PLDPC_HDE_DHA_c,0.8872275
PLDAGAT_HDE_EPA_LNA_PC_5_c,0.8891248
17MTHEAO,0.9986222
IPP5P,0.9995437
M523I,0.8891248
AIRC1,0.99984956
PC6AR,0.9986222
ACOADAGAT_LNA_PALM_HDE_c,0.019243103
PLA2PC_EPA_LNA_c,0.49332982
r0027,0.9998307
LCA3GSc,0.008301842
CMPt6,0.99997437
GLYabc,0.9998466
OA11PVL,0.13793443
LEUKTRB4WOHt,0.9998461
MELATN23DOX,0.98815316
HATSH,0.9986222
PETHCT,0.9990747
ASCBPOX_c,0.9937903
TYRNFT,0.07472438
RHACOAEP90,0.9997453
r2270,1.9798841e-05
RE3491C,0.9993298
r2047,0.7044291
PLDAGAT_LNA_PALM_HDE_PC_8_c,0.8891248
GLCNACPT_L,0.0020018276
PLDAGAT_OLE_EPA_DHA_PE_10_c,0.8891248
DHSQSYN,0.92021346
SBP,0.99982435
FACOAL240_1,0.9999291
PYRt4_2,0.9889501
7AHGLZABCt,0.9998461
BST,0.8891248
r1687,0.9972639
CLPNS160190,0.0004432575
1AGPEAT18111Z1819Z,0.0061601517
GGT,0.0014465483
C14825c,0.9997992
DAPabc,0.9998456
FORAMD,0.9999131
1MNCAMti,0.9998461
CYRDAAT,0.14033699
6EPSteb,0.9998461
TCDCASULT,0.0006501733
ELAIDCRNte,0.0056830826
LEUyLAThtc,0.12366069
14M3OHO,0.9986222
ARGSUCte,0.0001552381
PAPA_STC_ALNA_c,0.9995437
ACODA_1,0.9972832
MMHO,0.0011818442
RE2868C,0.00024355915
HMR_1532,0.0013753151
LPS43TVL,0.8891248
r2171,1.9798841e-05
OA38LVL,0.000587962
PLDAGAT_PALM_MYRS_PALM_PC_2_c,0.8891248
OA38PST,0.13793443
RE2626C,0.9997172
4HBAt,0.0013219656
r2484,1.979886e-05
DAGAH181181,0.9704148
HMR_6595,0.99978584
DOPAOQNOX,0.9211646
C6DCe,0.8891248
LPASE_18_2,0.666634
KOKDO_LIPAtetra,0.94602627
FMNRy_1,0.9998945
MEVK1,0.99978584
13PPDH2_1,0.9992168
3DHCDCHOLt,8.793114e-06
PRISTte,0.9998461
NH4t4,8.1484744e-05
TPRDCOAS,0.0036139179
SAMTRI,0.8019922
ARGCYSGLYr,0.4003392
2HXMPt6,0.99926704
OA39LL,0.000587962
OX3HECOA,0.99938166
RE2637C,0.99964976
r2187,1.9798841e-05
PLDAGAT_EPA_EPA_GLNA_PE_13_c,0.8891248
CDPPARE,0.8891248
PLDAGAT_EPA_EPA_ARA_PC_8_c,0.8891248
CE6031t,0.8891248
CRO4tex,0.0011810806
RNDR2c,0.051172566
BLAMDtex,0.8891248
LPS38TL,0.8891248
SERLYSHISt,0.99919206
CEPTE_18_0_18_0,0.28402752
LAAL3,0.9998636
PLA2PE_STC_STC_c,0.9945359
TAGAH_HDE_HDE_PALM_c,0.9949049
LEUKTRF4t,0.8891248
UNK_CBL1DEGt,0.8891248
ILEGLNGLUr,0.98872644
MTRPOX,0.88621217
COBNAD,0.99977
MYC1CYC3,0.16901098
OA50F,0.8891248
PHYCBOXL,0.9985954
PAFHe,0.019732267
CLPNS161,0.1546925
RE3446C,0.9999291
ETHAPT_MYRS_GLNA_c,0.28402737
PLDAGAT_PALM_EPA_PALM_PE_16_c,0.8891248
PPGPPDPE,0.99997103
DAGK_EPA_HDE_c,0.99978584
r2333,2.6980955e-05
HMR_0954,0.9997992
PLA2PC_STC_DHA_c,0.49332982
STCHLPSIum,0.8891248
VALTRPVALr,0.39477122
DESAT18_5,0.99981505
aratry1,0.09519458
r0361,0.0023581458
OA57LST,0.000587962
DAPAT,0.99810565
LYSGLUGLUt,0.99919206
CHOLESTTDe,0.8891248
DAGAH_OLE_HDE_c,0.9764811
ESTRIOLATP,0.9998461
HMR_0325,0.9998461
GALACGLCGALGBSIDEte_cho,0.8891248
UREAt5,0.8798552
r1592,0.9476436
LYCOPC,0.8891248
HACD24i,0.9989588
HMR_0327,0.9999291
PCHOLET_HSABCt,0.9998461
NOS1_1,0.999642
PIK4_18_2_20_4,0.99978584
PLIPA2,0.04097108
4POPCOAM2,0.8891248
GLYMETabcpp,0.9998461
UAGAATN,0.13617976
PYDXDH_1,0.9992119
OA66LVL,0.0005879623
DTYRtex,0.8891248
CDIPT_EPA_HDE_c,0.67164874
HMR_0614,0.28402755
HMR_0168,0.9999577
SPHMYLN18115_hs_SECt,0.8891248
5HPETtd,0.8891248
LAAL15,0.9995683
SPDC,0.9975176
HMR_6362,0.9996358
PE1819Z1819Zt,0.9998461
FASC220ACP,0.9998253
SPHMYLN18116_hs_ATPt,0.9998461
34DHPHAMT,0.39042073
ACLS_a,0.99946505
PLDAGAT_PALM_EPA_GLNA_PE_13_c,0.8891248
r0940,0.8891248
PLDPE_MYRS_OLE_c,0.6768282
HYD4pp,0.99783474
PAPA_MYRS_LNA_c,0.9995437
SQD2_184_6_9_12_15,0.8776718
CRO4Rx,0.6517619
CBIATE,0.14033696
PI45PLC_16_0_20_4,0.49332982
XOLESte_16_0,0.8891248
SALCHS4Hpp,0.962587
AKR1C42,0.9989588
PE2LINL_HSt1e,0.8891248
HOCTDEC2CRNe,0.8891248
RETFAt2,0.8891248
CDHG,0.42169812
LCAT30e,0.8891248
PCHOLPALME_HSt1e,0.8891248
PLDAGAT1601819Z1819Z2,0.072973974
PLDAGAT16018111Z18111Z1,0.037116382
LEULEUtex,0.8891248
C3STKR1,0.9986222
HMR_2581,0.9997992
HMR_0367,0.9998461
NODCOAt,0.8891248
LPSSYN_EC,0.009574888
PLDAGAT_PALM_EPA_DHA_PE_14_c,0.8891248
CE1243UPKt,0.8891248
FACOAL50It2pp,0.9999628
LKYNRtr3,6.950076e-06
LPS53TL,0.8891248
PLA2PC_MYRS_ALNA_c,0.49332994
PLDAGAT_HDE_EPA_DHA_PC_7_c,0.8891248
r1679,0.9963546
PLA2PE_LNA_GLNA_c,0.49333
RE2335C,0.9996921
PHEACt,0.8891248
HMR_2336,0.9993298
OA8LVL,0.000587962
r2104,0.019608058
PCW3DS_MYRS_ALNA_sn2_c,0.0115206055
ACOADAGAT_MYRS_MYRS_HDE_c,0.037373014
PLDAGAT_PALM_EPA_EPA_PC_7_c,0.8891248
SLNTabcpp,0.9998461
CYSAMO_cho,0.9980767
DMSOR3,0.9996921
AGMabcpp,0.9998561
ABFPT,0.99978584
CA2t2pp,0.95320314
UAGDP_c,0.998348
LPS2e,0.016532967
PLDAGAT_EPA_EPA_GLNA_PC_5_c,0.8891248
PLDAGAT_MYRS_EPA_LNA_PE_12_c,0.8891248
CE7096te,0.9998461
PHAPCP90,0.006160146
SR3,0.99978584
GLCNACAMS,0.66352195
PCHOL2STE_HSABCt,0.9998461
FPGSa,0.9998578
DRU1Ptex,0.8891248
LPCAT_EPA_STC_sn2_c,0.0061601517
LYSVALPHEr,0.00410183
5OHFVSGLUtev,0.8891248
SUCACETATc,0.9989588
DAGK_STC_ARA_c,0.99978584
NAIt,0.0056830794
TRPt4,0.998694
BTS_1,0.00045012246
r1252,0.9999728
LYSGLNPHEt,0.99919206
AMID,0.9925022
OA63LVL,0.0005879623
ELAIDCRNtd,0.8891248
PLDAGAT_LNA_PALM_HDE_PC_5_c,0.8891248
COA181_9Z_9DS_c,0.3363573
r2368,0.8891248
GALS1,0.9998704
IBUP_RCYPCARhep,0.99973494
FACOAL191,0.9999291
14MTP2EA,0.9986222
VALVALt,0.99919206
CD2t4pp,0.11070401
r1774,0.8236136
ALDD15,0.9996921
OA57F,0.8891248
B13GS_c,0.99878794
GLYCDy,0.99950635
LPEAT_LNA_ALNA_sn2_c,0.006160149
RE1836C,0.9948114
r0961,0.0056830794
MEPNtex,0.8891248
ARGARGLYSr,0.92615724
ACOADAGAT_HDE_EPA_EPA_c,0.006160149
PIMEtr,0.8891248
ALALYSTHRr,0.13192901
RHA40tpp,0.8891248
PLPSA21819Z1819Z,0.49333
IBUTOHt,0.8891248
PLDAGAT_EPA_EPA_PALM_PC_5_c,0.8891248
PLDAGAT_OLE_PALM_HDE_PE_11_c,4.052662e-05
AMPEP13,0.9992285
RE3307C,0.9986222
H2O2syn,0.9999083
r1690,0.046652906
NFDOXDhc,0.9986222
3NTYROXDApp,0.031787973
LPS21TL,0.8891248
PC17M,0.169011
ISOLVSTAChep,0.8891248
OA43LL,0.0005879623
PCD5DS_OLE_ARA_sn2_c,0.21347685
FTHFDH,0.9998847
PLDAGAT_HDE_PALM_EPA_PE_16_c,0.8891248
SMVLAChep,0.99992955
CF3Ha,0.99989724
XYLOS1,0.99980706
ALGSex13,0.8891248
PKETX,0.99143666
PCW3DS_STC_ETA_sn2_c,0.0115206055
DAGAH_PALM_GLNA_c,0.49333
G1PTMT,0.99400467
OA18PVL,0.13793443
PHEPHEt,0.99919206
HPCOR,0.9986222
GGDAPAH,0.9976846
ACTNt2r,0.9996693
DILIP,0.037854563
RE0936E,0.0014803621
RE3075C,0.9999291
LPS9TL,0.8891248
PLDAGAT_PALM_EPA_GLNA_PC_6_c,0.8891248
PCD6DS_MYRS_GLNA_sn2_c,0.0115206055
AGLPET_cho,0.96688205
CH4t2pp,0.8891248
LPCAT_PALM_LNA_sn2_c,0.0061601517
OA45LST,0.0005879623
OA51LST,0.000587962
PLA2PE_HDE_ARA_c,0.4933297
LPCH2055Z8Z11Z14Z17Z_sn1_c,0.666634
LPS40TL,0.8891248
LCAT34e,0.8891248
PLDAGAT_EPA_EPA_ARA_PC_3_c,0.8891248
TMHAS1,0.00037654597
ENLIPAtex,0.9933241
PPAP_18_2_16_0,0.9995437
CYNL,0.8741262
PHPYRtex,0.8891248
AGPAT1_18_1_18_5,0.035553552
ASPLYSGLUt,0.99919206
LPCAT_HDE_STC_sn2_c,0.0061601517
PLDAGAT_EPA_EPA_EPA_PE_10_c,0.8891248
GD1Cte,0.8891248
PLDAGAT1801819Z18111Z2,0.011035979
AGAID,0.9877834
MACOXO,0.9996921
12MGDG180,0.9739498
LPEAT_EPA_STC_sn2_c,0.0061601517
PLBPC_SCe,0.005105337
ERGSTGLCT,0.95357955
ARABRr,0.9993598
HMR_6515,0.9883542
PLA2_cho,0.49332976
METt3pp,0.9999765
MLDCP2Bpp,0.59804946
PLDAGAT1601819Z18111Z1,0.037116364
MRF,0.00180616
GLYt4,0.9994148
TRPTHRTYRt,0.99919206
GLYPHEtex,0.8891248
SQLC,0.8891248
RE1819C,0.9986222
ALAPAT4te,0.14388655
GALOR,0.999496
VALARGGLYr,0.033302497
ARGALAALAr,0.5884057
GT1Ate,0.8891248
PLDAGAT_HDE_EPA_LNA_PE_9_c,0.8891248
AGPATCOA_EPA_MYRS_c,0.05035587
PLCTI1,0.005886145
PLDAGAT_OLE_EPA_DHA_PC_8_c,0.8891248
r1521,0.9998461
HMR_7184,0.8891248
DMSt,0.0014402899
r0789,0.0014045333
PI4PLC_18_1_20_4,0.49332994
r1522,0.9998461
GNK_1,0.9997112
2HATVACIDGLUCteb,0.9998461
GLNTYRLEUt,0.99919206
r1775,0.362872
ETOHMO,0.9999095
RPEc,0.9974765
NO3t,0.97917616
ASNPHEASPr,0.079519086
DSAT,0.32651654
r2266,1.9798841e-05
HMR_0358,0.9997453
HMR_6874,0.9997813
HYGBDIAS,0.99986196
PLDAGAT_PALM_EPA_ARA_PC_8_c,0.8891248
TRPSERTYRr,0.46291032
SLTAS,0.9935062
CDPDAGS1819Z160,0.9990747
MLTG6,0.9999716
r1880,0.97181815
KARI_23dhmp_1,0.9988918
DAGK_LNA_ALNA_c,0.99978584
NAabc,0.99989593
ALAyLATthc,0.561804
CDPDAGS_PALM_EPA_c,0.9990747
DHI56,0.05442886
GK2,0.9978509
PLPSD1829Z12Z1835Z9Z12Z,0.67682815
OA9_46PVL,0.13793443
LPS57TVL,0.8891248
ATPATF1,0.99983656
ALA_DTDe,0.95927066
FAD_25,0.9822435
PEDH17_HSPLA2,0.49332994
RE2439C,0.6410303
THYMt3r,0.9994609
HEPACP,0.9919368
C02356t,0.8891248
NH4OHDs,0.9999697
MDZtd,0.8891248
GGGT_MYRS_PALM_2_c,0.8891248
RN0031C,0.9993298
G3PAT181_9,0.9864297
TYRASE,0.8891248
HMR_2739,0.058043845
PAPA_OLE_ALNA_c,0.9995437
CTBTCAL2,0.99982196
PLDAGAT_MYRS_HDE_HDE_PE_9_c,0.8891248
PLDAGAT18111Z1819Z1819Z3,0.011035979
PCW3DS_PALM_ETA_sn2_c,0.0115206055
DHAt,0.11381425
FACOAL182_1,0.9999291
CE6205te,0.8891248
DMGDH2,0.9882471
APTNAT,0.99139625
LPEAT_LNA_LNA_sn2_c,0.0061601517
G1PDH,0.9997092
PLA2PE_HDE_MYRS_c,0.9939177
CE2512te,0.8891248
r1957,0.9989409
MSALEST,0.6080246
F4MTSPD,0.00018452012
CDS,0.9990747
D2ONEtpp,0.8891248
ALPATE161pp,0.00081251416
PLDPE_DHA_ARA_c,0.6768282
CDPDAGS_LNA_LNA_c,0.9990747
ETHAPT_DHA_PALM_c,0.28402746
HMR_7756,0.9961234
APCPT,0.99984264
BMNt,0.8891248
CRTSTRNt,0.8891248
FECRMexs,0.0027568135
ARGARGr,0.99987924
r2084,3.139805e-05
GLYPROPEPT1tc,0.99919206
HMR_0387,0.9998461
HMR_1321,0.9993298
CH4St,0.8891248
PLA2PE_PALM_ALNA_c,0.49332994
RHACOAR60,0.99890673
BHBt,0.99919206
FERtex,0.8891248
8M3ONO,0.9986222
4HBZtex,0.0007180369
3MBZALDH,0.9989588
HMR_9584,0.99919206
GTLOA67I,0.0050531277
COLIPAabcpp_kt,0.9998461
ALGAC3,0.9976834
DEDOLDPS,0.0014465476
DOPAtu,3.7354217e-05
HMR_2711,0.05804386
PDS2_1,0.9986222
CE2172t,0.8891248
CBPS_1,0.99985576
PLDAGAT_LNA_EPA_ARA_PE_16_c,0.8891248
SUCCt4_3,0.9999459
GLCt2,0.99995995
NRRH,0.9594502
OA43PL,0.13793443
SALSYN,0.9809091
CAO,0.63250923
UAGPT3_2,0.2012357
r0139,0.04090336
ACOADAGAT1819Z1819Z1835Z9Z12Z,0.0061601517
CFAS180E,0.31839693
HMR_0827,0.082646176
RE3308C,0.9986222
r1837,0.597334
GLYGLYtex,0.8891248
OXAtpp,0.9997471
DCASULT,0.000650173
ARUH,0.9940281
VCOAD,0.7502988
CBIabc,0.999853
BTDt_RR,0.00092134095
BUP,0.9996828
ESCHL,0.98077375
PLDAGAT18111Z18111Z18111Z1,0.037116364
PQQFEP,0.015268404
CERH126,0.9997992
IBTMr,0.010475964
TSULt4_3,0.99954766
RHACOAE160,0.9997453
RE1527C,0.9989588
PLDAGAT_EPA_EPA_PALM_PC_6_c,0.8891248
r1874,0.99785584
OLEICFATPtc,0.99995077
TYRB0AT3tc,0.16743836
FUC13GALACGLCGAL14ACGLCGALGLUSIDEte_cho,0.8891248
HMR_7906,0.8891248
PCD5DS_STC_EPA_sn2_c,0.0115206055
PHADPC50,0.4933297
RECOAH22,0.9993298
1531TACRteb,0.9998461
NACHY,0.9928866
NO3abc,0.99984896
ASPTA2,0.99139625
MTRK,0.99981314
PB2abcpp,0.9998461
PLDAGAT_HDE_MYRS_PALM_PC_3_c,0.8891248
RE0576C_1,0.9986222
AGPAT1_18_0_18_1,0.035553534
RE2523C,0.012802084
DHPR,0.9989588
GSEALD,0.9999311
12DGR140tipp,5.101694e-05
LPCAT_MYRS_DPA_sn2_c,0.006160149
AHANDROSTANte,0.9998461
HACD13i,0.9989588
OA30LST,0.0005879623
PLA2PC_PALM_PALM_c,0.992415
PLDAGAT_MYRS_HDE_HDE_PC_6_c,0.8891248
r2180,1.979886e-05
FADOX,0.9590854
PS_asn__L_c,0.999828
RE2514E,0.023952406
LPLIPAL2ATE161,0.0010709612
PLDAGAT_HDE_EPA_OLE_PC_5_c,0.8891248
RE3486C,0.9993298
O2St,0.00027601392
PLDAGAT_HDE_HDE_GLNA_PE_14_c,9.9960336e-05
GLCNACPT_c,0.0020018285
FACOAL90t2pp,0.9999628
LEUSERTRPr,0.2787677
RHACOAEP80,0.9997453
PHYCBNORr,0.00021203146
ETHAPT_MYRS_ALNA_c,0.28402752
r1392,0.98077375
r2085,3.1397987e-05
r1850,0.8491344
DARGabcpp,0.9998461
T4HCINNMte,0.8891248
PLDAGAT_PALM_EPA_LNA_PC_2_c,0.8891248
RE1310C,0.77470374
SMOX,0.75242174
GPDDA4_1,0.99967813
HMR_0210,0.9997453
LPS2_18_0_20_4,0.49332964
RE2270E,0.0009979479
r2246,1.979886e-05
CHOPT_STC_MYRS_c,0.28402758
HACD11i,0.9989588
HMR_1500,0.9986222
LPEAT_LNA_EPA_sn2_c,0.006160149
CYO1_KT,0.9965019
O3D1,0.9986222
PI4P5K_16_0_20_4,0.99978584
HMR_0852,0.28402722
HMR_0873,0.0034048609
GUDBUTNAH,0.4299469
TDSK2,0.99978584
CRMPte,0.8891248
RE2251C,0.9993298
13BGH,0.9999716
ACOADAGAT_MYRS_EPA_MYRS_c,0.05035587
CU2t4pp,0.11663582
PI45PLC_18_0_18_1,0.49332988
TOLt6,0.99949396
PLDAGAT_OLE_EPA_DHA_PE_9_c,0.8891248
H4THDPR,0.99976534
HMR_2343,0.9986222
HEDCECRNe,0.8891248
TSULP,0.9997142
PAPA_HDE_GLNA_c,0.9995437
TRIODTHYt2,0.8891248
2HYDOGOAT3t,0.00073256687
ECOAH28,0.9993298
CINNDO,0.99946314
G12MT3_c,0.00018452012
PLA2PC_OLE_GLNA_c,0.49332988
PLA2_2,0.49332994
